SKU,Product Name,4
ZSC3PKD,3mm Pink Diamond Scalloped Set Frontal Only',
ZSC3PD,3mm Purple Diamond Scalloped Set Frontal Only',
ZSC3D,3mm Diamond Scalloped Set Frontal',
ZSC3BKD,3mm Black Diamond Scalloped Set Frontal',
ZSC3BD,3mm Blue Diamond Scalloped Set Frontal Only',
ZSC2PKD,2mm Pink Diamond Scalloped Set Frontal',
ZSC2PD,2mm Purple Diamond Scalloped Set Frontal Only',
ZSC2D,2mm Diamond Scalloped Set Frontal only',
ZSC2BKD,2mm Black Diamond Scalloped Frontal only',
ZSC2BD,2mm Blue Diamond Scalloped Set Frontal Only',
ZSC25D,2.5mm Diamond Scalloped Frontal Only',
ZSC25BKD,2.5mm Black Diamond Scalloped Set Frontal only',
ZSC15PKD,1.5mm Pink Diamond Scalloped Set Frontal',
ZSC15PD,1.5mm Scalloped Purple Diamond (Frontal Only)',
ZSC15D,1.5mm Diamond Scalloped Set Frontal Only',
ZSC15BKD,1.5mm Black Diamond Scalloped Set Frontal Only',
ZSC15BD,1.5mm Blue Diamond Scalloped Set Frontal Only',
ZSC12D,1.2mm Diamond Scalloped Set Frontal Only',
ZPEAR,Gold Pear Frontal Only',
ZPE725D,7mm Pear Diamond Frontal Only',
ZPE625D,6mm Pear Diamond Frontal Only',
ZPAISRD,Diamond Paisley (Right) Frontal Only',
ZPAISLD,Diamond Paisley (Left) Frontal Only',
ZPAISLBD,Blue Diamond Paisley (Left) Frontal Only',
ZPACD,Diamond Micropave Open Circle Frontal Only',
ZP6CZ,6mm Prong Set Cubic Zirconia Frontal Only',
ZP4CZ,4mm Prong Set Cubic Zirconia Frontal Only',
ZP3CZ,3mm Prong Set Cubic Zirconia Frontal Only',
ZP2CZ,2mm Prong Set Cubic Zirconia Frontal Only',
ZMTTPS,Pink Sapphire and Diamond MT Tiara Frontal Only',
ZMTTDOP,Opal and Diamond MT Tiara Frontal Only',
ZMTTD,Diamond MT Tiara Frontal Only',
ZMQ725D,7mm Marquise Diamond Frontal Only',
ZMQ625D,6mm by 3mm Marquise Diamond Frontal Only',
ZMNSPAD,Small Diamond Moon (Frontal Only)',
ZMNPAD,Diamond Moon (Frontal Only)',
ZLOTEGD625D,6mm Engraved Diamond Lotus with Dangle (Frontal Only)',
ZLOTEG615D,6mm Engraved Diamond Lotus (Frontal Only)',
ZLOTD625D,6mm Diamond Lotus with Dangle (Frontal Only)',
ZLOT615D,18K Diamond Lotus Design Frontal Only',
ZLB11D,11mm Diamond Lightning Bolt Frontal',
ZLB11BKD,11mm Black Diamond Lightning Bolt Frontal',
ZIVFL85D,8.5mm Invisible Set Diamond Flower Frontal Only',
ZIVFL6D,6mm Invisible Diamond Flower Frontal Only',
ZIVD32D,3mm-2mm Invisible Set Diamond Dangle Frontal Only',
ZIVD215D,2mm-1.5mm Invisible Set Diamond Dangle (Frontal Only)',
ZIV5D,5.2mm Invisible Set Diamond Frontal Only',
ZIV4D,4.1mm Invisible Set Diamond Frontal Only',
ZIV47D,4.7mm Invisible Set Diamond Frontal Only',
ZIV3PKD,3mm Invisible Set Pink Diamond (Frontal Only)',
ZIV3D,3mm Invisible Set Diamond Frontal Only',
ZIV3BD,3mm Blue Diamond Invisible Set Frontal Only',
ZIV38D,3.8mm Invisible Set Diamond Frontal Only',
ZIV35D,3.5mm Invisible Set Diamond (Frontal Only)',
ZIV2PKD,2mm Invisible Set Pink Diamond Frontal Only',
ZIV2PD,2mm Invisible Set Purple Diamond (Frontal Only)',
ZIV2D,2mm Invisible Set Diamond Frontal Only',
ZIV2BD,2mm Invisible Set Blue Diamond Frontal Only',
ZIV25PD,2.5mm Purple Diamond Invisible Set Frontal Only',
ZIV25D,2.5mm Invisible Set Diamond Frontal Only',
ZIV25BD,2.5mm Invisible Set Blue Diamond Frontal Only',
ZIV15PKD,1.5mm Invisible Set Pink Diamond (Frontal Only)',
ZIV15D,1.5mm Invisible Set Diamond Frontal Only',
ZIV15BD,1.5mm Invisible Set Blue Diamond Frontal Only',
ZHEART,Gold Heart Frontal Only',
ZG5OP,Five Opal Garland Frontal',
ZG3TQ,2.75mm Turquoise Starburst Frontal Only',
ZG3RB,2.75mm Ruby Starburst Frontal Only',
ZG3PS,2.75mm Pink Sapphire Starburst Frontal',
ZG3OP,2.75mm Opal Starburst Frontal',
ZG3CZ,2.75mm Cubic Zirconia Starburst Frontal Only',
ZG3BS,2.75mm Blue Sapphire Starburst Frontal Only',
ZFLPED,Pear Diamond Flower Frontal',
ZFLD75OP,7.5mm Opal Flower with Diamond Center Frontal Only',
ZFLD65OP,6.5mm Opal Dia Flower Frontal',
ZFLD5OP,5mm Opal Flower with Diamond Center Frontal',
ZFLD55D,5.5mm Diamond Flower with Dangle Frontal Only',
ZFLD45D,4.5mm Diamond Flower Frontal Only with Dangle',
ZFL7PKD,7mm Pink Diamond Flower Frontal Only',
ZFL7PD,7mm Purple Diamond Flower Frontal Only',
ZFL7DPE,7mm Pearl Flower with Diamond Center Frontal',
ZFL7D,7mm Diamond Flower Frontal',
ZFL7BD,7mm Blue Diamond Flower Frontal Only',
ZFL55PKD,5.5mm Pink Diamond Flower Frontal Only',
ZFL55PD,5.5mm Rose-Purple Diamond Flower Frontal Only',
ZFL55D,5.5mm Diamond Flower Frontal Only',
ZFL55CZ,5.5mm Cubic Zirconia Flower Frontal Only',
ZFL55BKD,5.5mm Black Diamond Flower Frontal Only',
ZFL55BD,5.5mm Sky Blue Diamond Flower Frontal Only',
ZFL45PKD,4.5mm Pink Diamond Flower Frontal Only',
ZFL45PD,4.5mm Rose-Purple Diamond Flower Frontal Only',
ZFL45D,4.5mm Diamond Flower Frontal',
ZFL45CZ,4.5mm Cubic Zirconia Flower Frontal Only',
ZFL45BKD,4.5mm Black Diamond Flower Frontal',
ZFL45BD,4.5mm Sky Blue Diamond Flower Frontal Only',
ZFL3D,3mm Diamond Flower Frontal Only',
ZDS5DOP,Opal and Diamond Small Sword Frontal Only',
ZDS5D,Diamond Small Sword Frontal Only',
ZDM25,2.5mm Dome Frontal',
ZDM2,2mm Dome Frontal Only',
ZDM15,1.5mm Dome Frontal Only',
ZDGTR65RB,Ruby and Diamond Trinity Dagger Frontal Only',
ZDGTR65OP,Opal and Diamond Trinity Dagger Frontal Only',
ZDGTR65D,Diamond Trinity Dagger Frontal Only',
ZDGTR65BKD,Black and White Diamond Trinity Dagger Frontal Only',
ZDG65D,Diamond Dagger Frontal Only',
ZDG65BKD,Black and White Diamond Dagger Frontal Only',
ZDG5D,Small Diamond Dagger Frontal Only',
ZDELDPS,Pink Sapphire and Diamond Delia Frontal Only',
ZDELD,Diamond Delia Frontal Only',
ZDAL,Dala Dangle Frontal Only',
ZD25,2.5mm Gold Disc Frontal Only',
ZCOBRAD,Diamond Cobra Frontal Only',
ZCLVD,Diamond Lucky Clover Frontal Only',
ZCLV7DPS,7mm Diamond and Pink Sapphire Clover Frontal Only',
ZCLV7DBS,7mm Diamond and Blue Sapphire Clover Frontal Only',
ZCLV55DPS,5.5mm Pink Sapphire and Diamond Clover Frontal',
ZCLV55DBS,5.5mm Blue Sapphire and Diamond Clover Frontal',
ZCFL5D,Diamond 5 Flower Garland Frontal Only',
ZC4CZ,4mm Cubic Zirconia Cup Set Frontal Only',
ZC3STD,Diamond Star Garland Frontal Only',
ZC3FLOP,Three Opal Flower Garland Frontal Only',
ZC3FLD,Diamond Flower Garland Frontal Only',
ZC3FLCZ,5.5mm Cubic Zirconia Flower Garland Frontal Only',
ZBYMQD,Diamond Marquise Butterfly Frontal Only',
ZBYMQCZ,Cubic Zirconia Marquise Butterfly Frontal Only',
ZBY4D,4mm Diamond Butterfly Frontal Only',
ZBRT3TQ,2.75mm Turqoiuse Thin Braid Frontal Only',
ZBRT3RB,2.75mm Ruby Thin Braid Frontal Only',
ZBRT3PS,2.75mm Pink Sapphire Thin Braid Frontal Only',
ZBRT3OP,2.75mm Opal Thin Braid Frontal Only',
ZBRT3CZ,2.75mm Cubic Zircoinia Thin Braid Frontal Only',
ZBRT3BS,2.75mm Blue Sapphire Thin Braid Frontal Only',
ZBRT2OP,2mm Opal Thin Braid Frontal Only',
ZBRT2CZ,2mm Cubic Zirconia Thin Braid Frontal',
ZBRKRB,2.75mm Ruby Broken Braid Frontal Only',
ZBRKPS,2.75mm Pink Sapphire Broken Braid Frontal Only',
ZBRKCZ,2.75mm Cubic Zirconia Broken Braid Frontal Only',
ZBRKBS,2.75mm Blue Sapphire Broken Braid Frontal Only',
ZBO9D,9mm Diamond Bone Frontal Only',
ZBO7D,7mm Diamond Bone Frontal Only',
ZBF,Ball Flower Frontal Only',
ZBAT75RB,Small Bat with Ruby Eyes Frontal',
ZBAT75D,Small Bat with Diamond Eyes Frontal',
ZBAT75BKD,Small Bat with Black Diamond Eyes Frontal',
ZBAT10RB,Large Bat with Ruby Eyes Frontal',
ZBAT10D,Large Bat with Diamond Eyes Frontal',
ZBAT10BKD,18K Large Bat with Black Diamond Eyes Frontal',
ZBARR7M,Matte Round 7mm Bar Frontal',
ZBARR7DM,7mm Matte Round Bar with Diamond Ends Frontal',
ZBARR7,Frontal 7mm Polishd Round 7mm Bar Threaded',
ZBARR18M,18mm 14k Matte Round Bar Frontal',
ZBARR18,18mm Polished Round Bar Frontal Only',
ZBARR11M,11mm Matte Round Bar Frontal',
ZBARR11DM,11mm Matte Round Bar with Diamond Ends Frontal',
ZBARR11,11mm Polished Round Bar Frontal',
ZBAR7PAD,7mm Square Diamond Bar Frontal Only',
ZBAR7MD3,7mm Matte Square Bar with 3 Side Diamonds Frontal',
ZBAR7M,7mm Matte Square Bar Frontal',
ZBAR7,7mm Polished Square Bar Threaded Frontal Only',
ZBAR18PAD,18mm Square Diamond Pave Bar Frontal',
ZBAR18MD3,18mm Matte Square Bar with 3 Diamond Ends Frontal',
ZBAR18M,18mm Matte Square Bar Frontal',
ZBAR11PAD,11mm Square Diamond Pave Bar Frontal',
ZBAR11MD3,11mm Matte Square Bar with 3 Diamond Ends Frontal',
ZBAR11M,11mm Matte Square Bar Frontal',
ZBAR11,11mm Polished Square Bar Frontal',
ZBAD,Diamond Baguette Frontal Only',
ZB4,4mm Gold Ball Frontal Only',
ZB3,3mm Gold Ball Frontal Only',
ZB25,2.5mm Gold Ball Frontal Only',
ZB2,2mm Gold Ball Frontal Only',
ZAR75D,7.5mm Diamond Arrow Frontal Only',
ZAR55D,18k 5.5mm Diamond Arrow Side Frontal (For Nipple)',
ZAR45D,18k 4.5mm Diamond Arrow Side Frontal (For Nipple)',
ZAR10D,10mm Diamond Arrow Frontal Only',
ZAJNDPE,Diamond and Pearl Ajna Frontal',
ZAJN3B,Ajna Dangle Frontal Only',
ZAJN,Plain Ajna Frontal Only',
Z6OP,6mm Bezel Set Opal Frontal only',
Z5OP,5mm Bezel Set Opal Frontal only',
Z5IVD2,Invisible Set 5 Diamond Open Curve Frontal',
Z5IVD,Invisibly Set 5 Diamond Closed Curve Frontal',
Z4TQ,4mm Turquoise Frontal Only',
Z4OP,4mm Bezel Set Opal Frontal Only',
Z4DTRD,Four Diamond Trinity Frontal Only',
Z4BTRTQ,Turquoise Four Ball Trinity Frontal Only',
Z4BTROP,Opal Four Ball Trinity Frontal Only',
Z4BTRD,Diamond Four Ball Trinity Frontal Only',
Z4BTR,Four Ball Trinity Frontal Only',
Z3TQ,3mm Turquoise Frontal Only',
Z3OP,3mm Natural Opal Frontal Only',
Z3IVD,Invisible Set 3 Diamond Curve Frontal',
Z3DTRDL,Large Diamond Trinity Frontal Only',
Z3DTRD,Diamond Trinity Frontal Only',
Z3CZ,3mm Cubic Zirconia Plain Bezel Frontal Only',
Z3BTRL,Large Three Ball Trinity Frontal',
Z3BTR,Three Ball Trinity Frontal Only',
Z32CZ,14k Cubic Zirconia 3-2 Dangle Frontal Only',
Z2TQ,2mm Turquoise Frontal Only',
Z2OP,2mm Natural Opal Frontal Only',
Z2BKD,18k 2mm Black Diamond Bezel Set Frontal Only',
Z15BKD,1.5mm Black Diamond Bezel Set Frontal Only',
XXMARK,X Marks The Spot Threaded Stud',P
XWB15D,Large Diamond Web Threaded Stud',P
XWB15BKD,Large Black Diamond Web Threaded Stud',P
XWB10D,10mm Diamond Web Threaded Stud',P
XWB10BKD,10mm Black Diamond Web Threaded Stud',P
XURPAPRS5BKD,5mm Black and White Diamond Pave Ouroboros Threaded Stud',P
XURPAPRS4BKD,4mm Black and White Diamond Pave Ouroboros Threaded Stud',P
XURPA5DOP,5mm Opal and Diamond Pave Ouroboros Threaded Stud',P
XURPA5D,5mm Diamond Pave Ouroboros Threaded Stud',P
XURPA4DOP,4mm Opal and Diamond Pave Ouroboros Threaded Stud',P
XURPA4D,4mm Diamond Pave Ouroboros Threaded Stud',P
XTNCOBRBBKD,Black Diamond Eyes and Ruby Hood Cobra Talon',P
XTNCOBDRB,Ruby Eyes and Diamond Hood Cobra Talon Earring',P
XTNCOBDD,Diamond Cobra Talon',P
XTNCOBBKDRB,Ruby Eyes and Black Diamond Hood Cobra Talon',P
XTNCOBBKDBKD,Black Diamond Cobra Talon',P
XTHMQD,18k Marquise Diamond Threaded Backing',
XTHD4,Large 14k Tash Threaded Disc Back',
XTHD2,Small 14k Tash Threaded Disc Back',
XTHBF6,Large 6mm Tash Threaded Ball Flower Back Only',
XTHBF2D,Individual Tash Threaded 2mm Diamond Backing',
XTHBF25D,Tash Threaded 2.5mm Diamond Backing',
XTHBF,Tash Threaded Ball Flower Back',
XTHBAD,Individual Tash Threaded Baguette Diamond Backing',
XSTARD,Diamond Solitaire Star Threaded Stud',P
XSTAR7D,7mm Diamond Star Threaded Stud',P
XSTAR55D,5.5mm Diamond Star Threaded Stud',P
XSTAR45D,4.5mm Diamond Star Threaded Stud',P
XSTAR,Plain Star Threaded Stud',P
XSQGPS,Pink Sapphire Princess Granulated Threaded Stud',P
XSQGBS,Blue Sapphire Princess Granulated Threaded Stud',P
XSQ4DTRD,Princess Cut Four Diamond Trinity Threaded Stud',P
XSQ3BTRD,Diamond Princess Cut Ball Trinity Threaded Stud',P
XSP3525,Spike Threaded Stud',P
XSNPA10RB,Large Diamond Pave Snake with Ruby Eyes Threaded Stud',P
XSNPA10D,Large Diamond Pave Snake Threaded Stud',P
XSNEG5RB,Small Engraved Snake with Ruby Eyes Threaded Stud',P
XSNEG5D,Small Engraved Snake with Diamond Eyes Threaded Stud',P
XSNEG5BKD,Small Engraved Snake with Black Diamond Eyes Threaded Stud',P
XSNEG10RB,Large Engraved Snake with Ruby Eyes Threaded Stud',P
XSNEG10D,Large Engraved Snake with Diamond Eyes Threaded Stud',P
XSNEG10BKD,Large Engraved Snake with Black Diamond Eyes Threaded Stud',P
XSN5RB,Small Snake with Ruby Eyes Threaded Stud',P
XSN5D,Small Snake with Diamond Eyes Threaded Stud',P
XSN5BKD,Small Snake with Black Diamond Eyes Threaded Stud',P
XSN10RB,Large Snake with Ruby Eyes Threaded Stud',P
XSN10D,Large Snake with Diamond Eyes Threaded Stud',P
XSN10BKD,Large Snake with Black Diamond Eyes Threaded Stud',P
XSK65OPM,Large Matte Skull with Opal Eyes Threaded Stud',P
XSK65DM,Large Matte Skull with Diamond Eyes Threaded Stud',P
XSK65BKDM,Large Matte Skull Black with Diamond Eyes Threaded Stud',P
XSK5RBM,Medium Matte Skull with Ruby Eyes Threaded Stud',P
XSK5RB,Medium Polished Skull with Ruby Eyes Threaded Stud',P
XSK5DM,Medium Matte Skull with Diamond Eyes Threaded Stud',P
XSK5BKDM,Medium Matte Skull with Black Diamond Eyes Threaded Stud',P
XSK4RB,Small Polished Skull with Ruby Eyes Threaded Stud',P
XSK4BKDM,Small Matte Skull with Black Diamond Eyes Threaded Stud',P
XSHSTAR,Plain Starburst Threaded Stud',P
XSCMQ4D,3.7mm Scalloped Marquise Diamond Threaded Stud',P
XSCETH1695D,16g 9.5mm Diamond Scalloped Horizontal Eternity Clicker',
XSCETH1695CZ,16g 9.5mm Cubic Zirconia scalloped Horizontal Eternity Clicker',
XSCETH168D,16g 8mm Diamond Scalloped Horizontal Eternity Clicker',
XSCETH168CZ,16g 8mm Cubic Zirconia scalloped Horizontal Eternity Clicker',
XSCETH1665CZ,16g 6.5mm Cubic Zirconia scalloped Horizontal Eternity Clicker',
XSCEG4CZ,4mm Cubic Zirconia Engraved Cup Threaded Stud',P
XSCEG3CZ,3mm Cubic Zirconia Engraved Cup Threaded Stud',P
XSCD32D,3mm-2mm Scalloped Set Diamond Dangle Threaded Stud',P
XSC3PKD,3mm Pink Diamond Scalloped Set Threaded Stud',P
XSC3PD,3mm Purple Diamond Scalloped Set Threaded Stud',P
XSC3D,3mm Scalloped Set Diamond Threaded Stud',P
XSC3BKD,3mm Black Diamond Scalloped Threaded Stud',P
XSC3BD,3mm Blue Diamond Scalloped Set Threaded Stud',P
XSC2PKD,2mm Pink Diamond Scalloped Set Threaded Stud',P
XSC2PD,2mm Purple Diamond Scalloped Set Threaded Stud',P
XSC2D,2mm Scalloped Set Diamond Threaded Stud',P
XSC2BKD,2mm Black Diamond Scalloped Set Threaded Stud',P
XSC2BD,2mm Blue Diamond Scalloped Set Threaded Stud',P
XSC25D,2.5mm Scalloped Set Diamond Threaded Stud',P
XSC25BKD,2.5mm Black Diamond Scalloped Set Threaded Stud',P
XSC15PKD,1.5mm Pink Diamond Scalloped Set Threaded Stud',P
XSC15PD,1.5mm Purple Diamond Scalloped Set Threaded Stud',P
XSC15D,1.5mm Scalloped Set Diamond Threaded Stud',P
XSC15BKD,1.5mm Black Diamond Scalloped Set Threaded Stud',P
XSC15BD,1.5mm Blue Diamond Scalloped Set Threaded Stud',P
XSC12D,1.2mm Scalloped Set Diamond Threaded Stud',P
XRUR95OPBKD,9.5mm Opal and Black Diamond Ouroboros Ring',P
XRUR95DRB,9.5mm Ruby and Diamond Ouroboros Ring',P
XRUR95DD,9.5mm Diamond Ouroboros Ring',P
XRUR95DBKD,9.5mm White and Black Diamond Ouroboros Ring',P
XRUR8OPBKD,8mm Opal and Black Diamond Ouroboros Ring',P
XRUR8DRB,8mm Ruby and Diamond Ouroboros Ring',P
XRUR8DD,8mm Diamond Ouroboros Ring',P
XRUR8DBKD,8mm White and Black Diamond Ouroboros Ring',P
XRUR65OPD,6.5mm Opal and Diamond Ouroboros Ring',P
XRUR65OPBKD,6.5mm Opal and Black Diamond Ouroboros Ring',P
XRUR65DD,6.5mm Diamond Ouroboros Ring',P
XRUR65DBKD,6.5mm Black Diamond Ouroboros Ring',P
XRSPJ8,8mm Javanese Spike Clicker Ring',P
XRSC95OP,9.5mm Scalloped Set Opal Ring',P
XRSC95D,9.5mm Scalloped Diamond Clicker',P
XRSC8OP,8mm Scalloped Set Opal Ring',P
XRSC8D,8mm Scalloped Diamond Clicker',P
XRSC65OP,6.5mm Scalloped Set Opal Ring',P
XRSC65D,6.5mm Scalloped Diamond Clicker',P
XRSC5OP,5mm Scalloped Set Opal Ring',P
XRSC5D,5mm Scalloped Diamond Clicker',P
XRSC125D,12.5mm Scalloped Diamond Clicker',P
XRSC11D,11mm Scalloped Diamond Clicker',P
XRS95,9.5mm 20g Seamless Ring',
XRS8,8mm 20g Seamless Ring',
XRS65,6.5mm 20g Seamless Ring',
XRS5,5mm 20g Seamless Ring',
XRS1895,9.5mm 18g Seamless Ring',
XRS188,8mm 18g Seamless Ring',
XRS1865,6.5mm 18g Seamless Ring',
XRS1816,15.5mm 18g Seamless Ring',
XRS1814,14mm 18g Seamless Ring',
XRS18125,12.5mm 18g Seamless Ring',
XRS1811,11mm 18g Seamless Ring',
XRS11,11mm 20g Seamless Ring',
XRNB95PS,9.5mm Pink Sapphire Indian Bead Ring',P
XRNB95D,9.5mm Diamond Indian Bead Ring',P
XRNB95BS,9.5mm Blue Sapphire Indian Bead Ring',P
XRNB8PS,8mm Pink Sapphire Indian Bead Ring',P
XRNB8D,8mm Diamond Indian Bead Ring',P
XRNB8BS,8mm Blue Sapphire Indian Bead Ring',P
XRNB3D8DPS,8mm Diamond Indian Bead Ring Diamond Pink Sapphire Dangles',P
XRNB3BD8PS,8mm Pink Sapphire Indian Bead Ring Briolette Ball Dangles',P
XRNB3BD8BS,8mm Blue Sapphire Indian Bead Ring Briolette Ball Dangles',P
XRHFB95CZ,9.5mm Fixed Horizontal Cubic Zirconia Ring',
XRHFB8CZ,8mm Fixed Horizontal Cubic Zirconia Ring',
XRHFB65CZ,6.5mm Fixed Horizontal Cubic Zirconia Ring',
XRFB95TQ,9.5mm Vertical Turquoise Fixed Bead Ring',
XRFB95CZ,9.5mm Fixed Cubic Zirconia Ring',
XRFB95,20ga 9.5mm Fixed Ball Ring',
XRFB8TQ,8mm Vertical Turquoise Fixed Bead Ring',
XRFB8CZ,8mm Fixed Cubic Zirconia Ring',
XRFB8,20ga 8mm Fixed Ball Ring',
XRFB65TQ,6.5mm Turquoise Fixed Bead Ring',
XRFB65CZ,6.5mm Fixed Cubic Zirconia Ring',
XRFB65,20ga 6.5mm Fixed Ball Ring',
XRFB5CZ,5mm Fixed Cubic Zirconia Ring',
XRFB5,20ga 5mm Fixed Ball Ring',
XRFB1895,18g 9.5mm Fixed Ball Ring',
XRFB188,18g 8mm Fixed Ball Ring',
XRFB1865,18 ga 6.5mm Fixed Ball Ring',
XRFB185,18g 5mm Fixed Ball Ring',
XRFB1695,16g 9.5mm Fixed Ball Ring',
XRFB168,16g 8mm Fixed Ball Ring',
XRCOBOP95DRB,9.5mm Cobra Clicker with Opal Head and Ruby Eyes',P
XRCOBOP95BKD,9.5mm Opal Cobra Ring with Black Diamond Eyes',P
XRCOBOP8DRB,8mm Cobra Clicker with Opal Head and Ruby Eyes',P
XRCOBOP8DBKD,8mm Cobra Clicker with Opal Head and Black Diamond Eyes',P
XRCOBD95RB,9.5mm Cobra Clicker with Diamond Head and Ruby Eyes',P
XRCOBD95BKD,9.5mm Cobra Ring with Black Diamond Eyes',P
XRCOBD8RB,8mm Cobra Clicker with Ruby Eyes',P
XRCOBD8BKD,8mm Cobra Ring with Black Diamond Eyes',P
XRCOBD65D,6.5mm Diamond Cobra Clicker',P
XRCOBD65BKD,6.5mm Cobra Ring with Black Diamond Eyes',P
XR95,9.5mm Plain Ring',P
XR8,8mm Plain Ring',P
XR65,6.5mm Plain Ring',P
XR5,5mm Plain Ring',P
XR3SPL95TQ,9.5mm Triple Long Turquoise Spike Clicker',P
XR3SPL95OP,9.5mm Triple Long Opal Spike Clicker',P
XR3SPL95BROP,9.5mm Triple Long Black-Red Opal Spike Clicker',P
XR3SPL95BKOP,9.5mm Triple Long Black Opal Spike Clicker',P
XR3SPL95,9.5mm Triple Long Spike Clicker',P
XR3SPL8TQ,8mm Triple Long Turquoise Spike Clicker',P
XR3SPL8OP,8mm Triple Long Opal Spike Clicker',P
XR3SPL8BROP,8mm Triple Long Black-Red Opal Spike Clicker',P
XR3SPL8BKOP,8mm Triple Long Black Opal Spike Clicker',P
XR3SPL8,8mm Triple Long Spike Clicker',P
XR3SPL65TQ,6.5mm Triple Long Turquoise Spike Clicker',P
XR3SPL65OP,6.5mm Triple Long Opal Spike Clicker',P
XR3SPL65BROP,6.5mm Triple Long Black-Red Opal Spike Clicker',P
XR3SPL65BKOP,6.5mm Triple Long Black Opal Spike Clicker',P
XR3SPL65,6.5mm Triple Long Spike Clicker',P
XR3SPGR8,8mm Triple Short Spike Granulated Clicker',P
XR3SPG95TQ,9.5mm Triple Short Turquoise Spike Granulated Clicker',P
XR3SPG95OP,9.5mm Triple Short Opal Spike Granulated Clicker',P
XR3SPG95BKOP,9.5mm Triple Short Black Opal Spike Granulated Clicker',P
XR3SPG95,9.5mm Triple Short Spike Granulated Clicker',P
XR3SPG8TQ,8mm Triple Short Turquoise Spike Granulated Clicker',P
XR3SPG8OP,8mm Triple Short Opal Spike Granulated Clicker',P
XR3SPG8BROP,8mm Triple Short Black-Red Opal Spike Granulated Clicker',P
XR3SPG8BKOP,8mm Triple Short Black Opal Spike Granulated Clicker',P
XR3SPG65TQ,6.5mm Triple Short Turquoise Spike Granulated Clicker',P
XR3SPG65OP,6.5mm Triple Short Opal Spike Granulated Clicker',P
XR3SPG65BKOP,6.5mm Triple Short Black Opal Spike Granulated Clicker',P
XR3SPG65,6.5mm Triple Short Spike Granulated Clicker',P
XR3SP95TQ,9.5mm Triple Short Turquoise Spike Clicker',P
XR3SP95OP,9.5mm Triple Short Opal Spike Clicker',P
XR3SP95BKOP,9.5mm Triple Short Black Opal Spike Clicker',P
XR3SP95,9.5mm Triple Short Spike Clicker',P
XR3SP8TQ,8mm Triple Short Turquoise Spike Clicker',P
XR3SP8OP,8mm Triple Short Opal Spike Clicker',P
XR3SP8BKOP,8mm Triple Short Black Opal Spike Clicker',P
